scode,sname,securitytype,trademarket,latestnoticedate,reportdate,basiceps,cutbasiceps,totaloperatereve,ystz,yshz,parentnetprofit,sjltz,sjlhz,roeweighted,bps,mgjyxjje,xsmll,publishname,assigndscrpt,gxl,securitytypecode,trademarketcode,firstnoticedate
301047,义翘神州,A股,深交所创业板,2021-07-30T00:00:00,2021-03-31T00:00:00,6.51,6.32,456585487.74,311.1609,-13.4857,332207460.55,417.9192,-11.8844,22.67,31.97599466,4.746849,96.8307,生物制品,-,-,058001001,069001002002,2021-07-30T00:00:00
688728,格科微,A股,上交所科创板,2021-07-30T00:00:00,2021-03-31T00:00:00,0.13,0.13,1937566596.0,55.2969,7.2463,292197230.0,48.6913,96.949,10.18,1.12178585,0.148599,31.2722,半导体,-,-,058001001,069001001006,2021-07-30T00:00:00
605580,恒盛能源,A股,上交所主板,2021-07-30T00:00:00,2021-03-31T00:00:00,0.21,0.21,172912617.31,77.4158,5.2948,31845091.74,103.2432,4.2024,8.51,2.60166596,0.243462,29.238,电力行业,-,-,058001001,069001001001,2021-05-13T00:00:00
001213,中铁特货,A股,深交所主板,2021-07-29T00:00:00,2021-03-31T00:00:00,0.03,-,2219298545.3,65.1935,-23.5985,135746831.25,461.6411,508.6436,-,3.9965093,0.035539,8.4745,物流行业,-,-,058001001,069001002001,2021-07-29T00:00:00
688733,壹石通,A股,上交所科创板,2021-07-29T00:00:00,2021-03-31T00:00:00,0.13,0.12,72903417.38,134.9601,0.6699,17483935.47,206.6604,-30.3677,3.54,3.67921221,-0.166675,42.5885,非金属材料,-,-,058001001,069001001006,2021-07-29T00:00:00
301046,能辉科技,A股,深交所创业板,2021-07-29T00:00:00,2021-03-31T00:00:00,0.12,0.12,86850510.92,88.204,-38.8648,13660119.85,114.8768,-64.9268,3.05,4.06154328,-0.536611,28.7727,光伏设备,-,-,058001001,069001002002,2021-07-29T00:00:00
300703,创源股份,A股,深交所创业板,2021-07-29T00:00:00,2021-03-31T00:00:00,0.0148,-,254663413.23,101.9406,-17.2775,2722501.81,127.6413,-35.6204,0.38,3.88658152,-0.443878,27.7059,家用轻工,-,-,058001001,069001002002,2021-04-23T00:00:00
605588,冠石科技,A股,上交所主板,2021-07-28T00:00:00,2021-03-31T00:00:00,0.42,0.38,371602479.62,89.5762,6.6762,22946612.61,20.344,-20.086,5.92,7.28327624,-1.355555,13.1513,半导体,-,-,058001001,069001001001,2021-07-28T00:00:00
688798,艾为电子,A股,上交所科创板,2021-07-27T00:00:00,2021-03-31T00:00:00,0.27,0.25,495550020.78,100.6322,5.8535,33116653.51,22.3114,51.7939,8.33,3.33700692,0.342737,32.718,半导体,-,-,058001001,069001001006,2021-07-27T00:00:00
301045,天禄科技,A股,深交所创业板,2021-07-27T00:00:00,2021-03-31T00:00:00,0.35,0.35,197162503.04,61.4673,-11.9412,26888417.42,68.6765,-21.2163,6.94,5.18016734,-0.357409,28.8971,光学光电子,-,-,058001001,069001002002,2021-07-27T00:00:00
688787,海天瑞声,A股,上交所科创板,2021-07-26T00:00:00,2021-03-31T00:00:00,0.51,0.45,44238877.46,41.5151,-51.1714,16341743.76,19.6873,-45.9993,3.66,14.15272548,0.574958,73.1091,互联网服务,-,-,058001001,069001001006,2021-07-26T00:00:00
301043,绿岛风,A股,深交所创业板,2021-07-23T00:00:00,2021-03-31T00:00:00,0.17,0.17,88521246.9,108.2909,-30.8104,8916496.41,153.1433,-59.7963,3.18,5.58085305,-0.888272,33.1312,专用设备,-,-,058001001,069001002002,2021-07-23T00:00:00
300964,本川智能,A股,深交所创业板,2021-07-23T00:00:00,2021-03-31T00:00:00,0.31,0.26,104088945.62,27.841,-3.9805,17728564.22,56.0163,-1.1695,4.59,6.81941631,-0.431618,26.9093,电子元件,-,-,058001001,069001002002,2021-07-23T00:00:00
