78,300294,博雅生物,详细,0.24,6.24亿,2.383,19.07,1.01亿,5.040,178.36,9.7123,2.42,0.3676,56.51,,生物制品,07-15,https://data.eastmoney.com/bbsj/yjbb/300294.html
79,300117,嘉寓股份,详细,-0.03,3.43亿,62.68,-60.25,-1803万,-56.40,-113.55,2.0078,-1.24,0.0078,10.09,,装修建材,07-15,https://data.eastmoney.com/bbsj/yjbb/300117.html
80,839275,众信科技,详细,0.1,3753万,110.20,-30.66,446.2万,92.88,-37.07,2.3265,4.58,-0.2332,22.89,,-,07-14,https://data.eastmoney.com/bbsj/yjbb/839275.html
81,605577,龙版传媒,详细,0.3305,5.86亿,17.78,142.27,1.32亿,32.34,382.22,6.3194,5.37,-0.2535,46.94,,文化传媒,07-14,https://data.eastmoney.com/bbsj/yjbb/605577.html
82,605507,国邦医药,详细,0.39,11.42亿,27.02,7.771,1.85亿,14.73,7.153,7.2839,5.50,0.0377,29.84,,化学制药,07-14,https://data.eastmoney.com/bbsj/yjbb/605507.html
83,301040,中环海陆,详细,-,3.07亿,66.06,1.776,2996万,633.90,-15.10,8.5878,4.76,-0.0312,18.10,,工程机械,07-14,https://data.eastmoney.com/bbsj/yjbb/301040.html
84,301031,中熔电气,详细,0.36,7123万,202.87,-8.023,1793万,765.89,11.81,5.3233,7.01,-0.0931,43.50,,电网设备,07-14,https://data.eastmoney.com/bbsj/yjbb/301031.html
85,301024,霍普股份,详细,0.29,5905万,50.57,-42.69,916.4万,121.84,-55.82,10.4,2.81,-0.7197,46.52,,工程建设,07-14,https://data.eastmoney.com/bbsj/yjbb/301024.html
86,300774,倍杰特,详细,0.07,1.12亿,215.04,-61.15,2703万,81.89,-67.16,3.1079,2.39,-0.3451,38.04,,环保行业,07-14,https://data.eastmoney.com/bbsj/yjbb/300774.html
87,688670,金迪克,详细,-0.09,3004万,-26.99,-90.80,-529.5万,-227.01,-104.97,3.5941,-2.60,-0.5996,86.04,,化学制药,07-13,https://data.eastmoney.com/bbsj/yjbb/688670.html
88,002411,延安必康,详细,0.0743,14.44亿,-11.45,-20.41,1.14亿,117.95,110.50,5.6585,1.33,-0.0305,22.40,,医药商业,07-13,https://data.eastmoney.com/bbsj/yjbb/002411.html
89,001212,中旗新材,详细,0.42,1.26亿,69.18,-35.35,2854万,37.91,-35.01,9.4112,4.56,0.292,33.92,,装修装饰,07-13,https://data.eastmoney.com/bbsj/yjbb/001212.html
90,688511,天微电子,详细,0.4757,5000万,20.57,12.79,2854万,62.85,28.77,4.135,12.21,0.5202,73.93,,电子元件,07-12,https://data.eastmoney.com/bbsj/yjbb/688511.html
91,688509,正元地信,详细,-0.03,2.87亿,58.20,-63.49,-1862万,54.06,-115.80,1.9359,-1.59,-0.2786,32.52,,互联网服务,07-12,https://data.eastmoney.com/bbsj/yjbb/688509.html
92,688071,华依科技,详细,-0.064,2856万,53.58,-75.98,-350.6万,64.60,-116.92,3.8174,-1.67,-0.5287,44.02,,汽车零部件,07-09,https://data.eastmoney.com/bbsj/yjbb/688071.html
93,400023,南洋5,详细,-0.004,7628万,85.27,105.62,-101.1万,-662.66,-107.68,0.2447,-1.65,-0.031,0.67,,-,07-09,https://data.eastmoney.com/bbsj/yjbb/400023.html
94,301038,深水规院,详细,0.02,2.22亿,160.89,-32.13,215.3万,-110.00,-94.98,6.7024,0.33,-1.9478,17.02,,工程建设,07-09,https://data.eastmoney.com/bbsj/yjbb/301038.html
95,301037,保立佳,详细,0.0481,5.16亿,132.52,-14.42,325.2万,274.48,-75.72,7.3294,0.66,-0.2126,13.57,,化学制品,07-09,https://data.eastmoney.com/bbsj/yjbb/301037.html
96,301036,双乐股份,详细,0.59,3.80亿,59.92,-1.386,4439万,244.03,-10.60,13.57,4.46,-0.1526,24.99,,化学制品,07-09,https://data.eastmoney.com/bbsj/yjbb/301036.html
97,688718,唯赛勃,详细,0.13,9433万,83.61,-1.101,1688万,521.28,-4.044,3.4409,3.84,0.172,37.87,,专用设备,07-08,https://data.eastmoney.com/bbsj/yjbb/688718.html
98,301035,润丰股份,详细,0.46,18.12亿,45.42,27.87,9614万,23.41,958.83,14.01,3.37,-1.8625,13.24,,农药兽药,07-08,https://data.eastmoney.com/bbsj/yjbb/301035.html
99,688296,和达科技,详细,-0.07,4257万,218.74,-74.82,-579.1万,-51.64,-110.74,4.2353,-1.68,-0.9497,38.94,,软件开发,07-07,https://data.eastmoney.com/bbsj/yjbb/688296.html
100,688768,容知日新,详细,-0.34,2638万,57.83,-76.14,-1416万,-86.32,-139.55,8.3334,-4.05,-0.439,68.98,,仪器仪表,07-06,https://data.eastmoney.com/bbsj/yjbb/688768.html
101,688305,科德数控,详细,0.1886,5034万,1938.1,-35.57,1283万,251.81,-41.61,8.2446,2.31,-0.2602,44.38,,通用设备,07-06,https://data.eastmoney.com/bbsj/yjbb/688305.html
102,605167,利柏特,详细,0.04,2.94亿,42.10,-47.44,1204万,-8.674,-74.57,2.416,1.49,0.1568,14.22,,专用设备,07-06,https://data.eastmoney.com/bbsj/yjbb/605167.html
103,601825,沪农商行,详细,0.28,58.29亿,1.015,8.620,24.12亿,0.030,29.83,9.163,-,-0.1953,-,,银行,07-06,https://data.eastmoney.com/bbsj/yjbb/601825.html
104,600093,*ST易见,详细,-0.06,12.10亿,-42.51,-51.42,-6787万,-172.02,99.42,-3.2302,-,0.079,0.79,,多元金融,07-06,https://data.eastmoney.com/bbsj/yjbb/600093.html
105,688303,大全能源,详细,0.36,16.61亿,40.83,-0.390,5.82亿,130.40,6.547,3.2319,-,0.1805,46.44,,光伏设备,07-05,https://data.eastmoney.com/bbsj/yjbb/688303.html
106,301033,迈普医学,详细,0.21,3252万,70.19,-22.39,1040万,125.28,-24.85,6.9596,3.05,0.1049,80.59,,医疗服务,07-05,https://data.eastmoney.com/bbsj/yjbb/301033.html
107,301032,新柴股份,详细,0.08,8.01亿,66.05,17.53,1489万,363.24,-50.85,4.2512,1.96,-1.2749,11.70,,通用设备,07-05,https://data.eastmoney.com/bbsj/yjbb/301032.html
108,688800,瑞可达,详细,0.2,1.48亿,65.35,-5.047,1635万,75.09,35.65,6.7903,3.02,0.1491,23.09,,电子元件,07-02,https://data.eastmoney.com/bbsj/yjbb/688800.html
109,301030,仕净科技,详细,0.09,1.05亿,8215.3,-61.28,873.1万,155.63,-77.28,8.3491,1.05,0.3127,29.44,,环保行业,07-02,https://data.eastmoney.com/bbsj/yjbb/301030.html
110,301029,怡合达,详细,0.17,3.19亿,105.58,-15.99,6168万,152.61,-27.91,3.9428,4.44,-0.0401,43.00,,通用设备,07-02,https://data.eastmoney.com/bbsj/yjbb/301029.html
111,300743,天地数码,详细,0.074,1.09亿,24.83,-15.54,731.8万,395.72,-7.583,4.0584,1.85,-0.0712,24.28,,非金属材料,07-02,https://data.eastmoney.com/bbsj/yjbb/300743.html
112,400095,雏鹰3,详细,-0.0527,1339万,-57.92,-42.18,-1.65亿,1.230,82.49,-1.2666,-4.30,-0.0008,-11.73,,-,06-30,https://data.eastmoney.com/bbsj/yjbb/400095.html
113,400093,千山3,详细,-0.04,2152万,-29.82,-33.05,-1278万,92.19,98.43,-10.86,-0.33,0.0015,15.74,,-,06-30,https://data.eastmoney.com/bbsj/yjbb/400093.html
114,400088,美都3,详细,0.0276,6.92亿,105.92,76.74,9882万,-40.81,101.64,0.3735,7.54,-0.0157,46.71,,-,06-30,https://data.eastmoney.com/bbsj/yjbb/400088.html
115,400053,佳纸3,详细,0,0.00,-,-,-5.30万,-44.22,82.68,-0.0043,-3.48,-0.0278,-,,-,06-30,https://data.eastmoney.com/bbsj/yjbb/400053.html
116,301028,东亚机械,详细,0.16,2.27亿,92.67,-0.929,4592万,200.00,-6.748,2.0505,8.21,-0.0059,33.33,,通用设备,06-30,https://data.eastmoney.com/bbsj/yjbb/301028.html
117,002653,海思科,详细,0.27,7.28亿,23.68,-23.71,2.87亿,123.76,22.82,2.972,9.43,-0.0078,69.23,,化学制药,06-30,https://data.eastmoney.com/bbsj/yjbb/002653.html
118,688501,青达环保,详细,-0.08,2043万,35.50,-93.18,-541.9万,-51.15,-111.91,6.9918,-1.08,-1.0331,48.29,,环保行业,06-29,https://data.eastmoney.com/bbsj/yjbb/688501.html
119,605365,立达信,详细,0.19,13.04亿,62.93,-13.00,8741万,221.48,50.78,4.2491,4.68,-0.2262,26.19,,家电行业,06-29,https://data.eastmoney.com/bbsj/yjbb/605365.html
120,600359,新农开发,详细,0.06,1.91亿,78.69,-29.85,2288万,117.66,-10.73,1.3545,4.64,0.0885,26.29,,农牧饲渔,06-29,https://data.eastmoney.com/bbsj/yjbb/600359.html
121,301027,华蓝集团,详细,0.22,2.70亿,48.14,-38.91,2391万,58.82,-50.95,4.054,5.50,-1.2478,35.46,,工程咨询服务,06-28,https://data.eastmoney.com/bbsj/yjbb/301027.html
122,300376,易事特,详细,0.03,6.86亿,22.59,-44.42,7628万,25.04,-40.16,2.506,1.32,0.0372,34.40,,电源设备,06-26,https://data.eastmoney.com/bbsj/yjbb/300376.html
123,688793,倍轻松,详细,0.24,2.15亿,62.42,-29.32,1113万,190.80,-70.66,5.3109,4.64,-0.3643,56.70,,家电行业,06-25,https://data.eastmoney.com/bbsj/yjbb/688793.html
124,301026,浩通科技,详细,0.8356,4.69亿,207.54,13.32,7102万,759.92,68.60,7.4474,11.89,2.7263,16.39,,小金属,06-25,https://data.eastmoney.com/bbsj/yjbb/301026.html
125,301025,读客文化,详细,0.02,1.03亿,60.19,-22.42,651.2万,211.04,-64.43,1.4405,1.26,-0.0601,33.47,,文化传媒,06-24,https://data.eastmoney.com/bbsj/yjbb/301025.html
126,688799,华纳药厂,详细,0.48,2.37亿,29.73,-24.30,3348万,38.00,-38.28,9.9079,4.92,0.6164,72.14,,化学制药,06-23,https://data.eastmoney.com/bbsj/yjbb/688799.html
127,688038,中科通达,详细,0.06,6254万,179.98,-74.85,518.4万,97.34,-82.93,5.8356,1.02,-0.6547,32.91,,软件开发,06-23,https://data.eastmoney.com/bbsj/yjbb/688038.html
128,301023,江南奕帆,详细,0.49,4008万,44.63,-22.19,1372万,35.63,-20.20,9.8779,5.09,0.2945,47.61,,电机,06-23,https://data.eastmoney.com/bbsj/yjbb/301023.html
129,002669,康达新材,详细,0.12,3.87亿,79.82,-37.01,3022万,36.86,1.713,9.2564,1.30,-0.1283,24.84,,化学制品,06-23,https://data.eastmoney.com/bbsj/yjbb/002669.html
130,605020,永和股份,详细,0.25,6.07亿,29.61,17.50,5010万,17.17,100.70,6.9258,-,0.1022,25.32,,化学制品,06-22,https://data.eastmoney.com/bbsj/yjbb/605020.html
131,688789,宏华数科,详细,0.98,2.21亿,71.42,-20.67,5589万,55.19,-14.11,14.02,7.25,-0.0741,41.83,,专用设备,06-21,https://data.eastmoney.com/bbsj/yjbb/688789.html
